partner,year,export_value_all,export_value_stable,value_share_stable
Austria,2013,8463449.0,819340.0,0.0968092322645295
Austria,2014,8352562.0,785953.0,0.09409723627313392
Austria,2015,8574018.0,817229.0,0.09531458879605804
Austria,2016,8881708.0,907610.0,0.10218867812362217
Austria,2017,9522008.0,655605.0,0.06885154895900109
Austria,2018,10248094.0,765294.0,0.07467671549460807
Austria,2019,10464945.0,641800.0,0.06132855929964276
Austria,2020,9287784.0,603715.0,0.06500097332151566
Austria,2021,11596965.0,701190.0,0.06046323326835944
Austria,2022,14571110.0,904537.0,0.06207742581038782
Austria,2023,14095852.0,1328556.0,0.09425155712474848
Austria,2024,12518271.0,677227.0,0.054099084450240774
Belgium,2013,11246215.0,770561.0,0.06851736339737415
Belgium,2014,13015473.0,786262.0,0.06040979071601931
Belgium,2015,13501716.0,878983.0,0.06510157671810013
Belgium,2016,13521652.0,956473.0,0.0707364011438839
Belgium,2017,13487948.0,688274.0,0.05102881476114825
Belgium,2018,13304145.0,607076.0,0.04563059106767101
Belgium,2019,14257637.0,459869.0,0.03225422277197827
Belgium,2020,14940548.0,501152.0,0.03354308021365749
Belgium,2021,18062252.0,1359131.0,0.0752470400700865
Belgium,2022,23035423.0,486527.0,0.02112081900992224
Belgium,2023,19304415.0,498102.0,0.02580249129538502
Belgium,2024,19345140.0,383948.0,0.019847258794715366
Czech Republic,2013,4188796.0,251762.0,0.06010366702030846
Czech Republic,2014,4608666.0,291721.0,0.06329836008944888
Czech Republic,2015,5047007.0,353794.0,0.07009976407799712
Czech Republic,2016,5355388.0,362488.0,0.06768659899152031
Czech Republic,2017,5959235.0,351752.0,0.05902636831740987
Czech Republic,2018,6451910.0,371654.0,0.057603717348816086
Czech Republic,2019,6570249.0,380191.0,0.0578655390381704
Czech Republic,2020,5867339.0,360495.0,0.06144097008882562
Czech Republic,2021,7271572.0,463225.0,0.06370355680999927
Czech Republic,2022,8549784.0,324972.0,0.038009381289632584
Czech Republic,2023,8386113.0,305495.0,0.036428676789831
Czech Republic,2024,8203851.0,294861.0,0.03594177904986329
France,2013,41983372.0,4548263.0,0.10833486647999593
France,2014,41632301.0,4699815.0,0.11288866786392614
France,2015,42607790.0,5062080.0,0.11880644361042898
France,2016,44004847.0,5295728.0,0.12034419753805757
France,2017,46337408.0,3620523.0,0.07813391288524382
France,2018,48673883.0,3653395.0,0.07505863051854729
France,2019,50574226.0,2984698.0,0.05901618741530518
France,2020,45226845.0,2768019.0,0.06120300896514006
France,2021,53451626.0,3341699.0,0.062518191682326
France,2022,63500065.0,2046236.0,0.03222415599102143
France,2023,63346811.0,2172165.0,0.03429004500321255
France,2024,62259899.0,1882859.0,0.030241921850852987
Germany,2013,48241018.0,3627565.0,0.07519669257394195
Germany,2014,49856565.0,3752462.0,0.07526515314482657
Germany,2015,50693728.0,3946555.0,0.07785095229137616
Germany,2016,52688582.0,4203306.0,0.07977641151929274
Germany,2017,56041626.0,2943645.0,0.05252604555049848
Germany,2018,58178351.0,2893199.0,0.04972982132133652
Germany,2019,58517043.0,2816157.0,0.04812541535976109
Germany,2020,56126004.0,2783575.0,0.04959510390228387
Germany,2021,67423155.0,4328989.0,0.0642062656367831
Germany,2022,77932018.0,3439842.0,0.044139008436814765
Germany,2023,74638451.0,2721776.0,0.03646613727286489
Germany,2024,70984931.0,1892890.0,0.02666608212945928
Netherlands,2013,9021131.0,857254.0,0.09502733083024734
Netherlands,2014,9345900.0,1063818.0,0.1138272397521908
Netherlands,2015,9549024.0,1133394.0,0.11869213021142265
Netherlands,2016,9707209.0,1126658.0,0.11606405095429592
Netherlands,2017,10499625.0,766315.0,0.07298498755907949
Netherlands,2018,11661071.0,798202.0,0.06845014493094159
Netherlands,2019,12000389.0,1009730.0,0.0841414390816831
Netherlands,2020,11411848.0,970749.0,0.08506501313371857
Netherlands,2021,15235194.0,1055660.0,0.06929088005049361
Netherlands,2022,18674406.0,739823.0,0.03961694952974676
Netherlands,2023,18504736.0,585742.0,0.031653626401370975
Netherlands,2024,19329847.0,655648.0,0.033918944107524496
Poland,2013,9293962.0,678457.0,0.07299976048965985
Poland,2014,10259509.0,1064928.0,0.10379911943154395
Poland,2015,10885625.0,789419.0,0.07251940058563472
Poland,2016,11236719.0,782161.0,0.06960759630991929
Poland,2017,12650192.0,805517.0,0.06367626673176185
Poland,2018,13617134.0,1148568.0,0.08434726426280302
Poland,2019,13544210.0,806837.0,0.05957062095168341
Poland,2020,13169874.0,991746.0,0.07530413730609724
Poland,2021,16440192.0,1123130.0,0.06831611212326474
Poland,2022,19618122.0,549620.0,0.028015933431344755
Poland,2023,19793042.0,653230.0,0.033003011866493286
Poland,2024,19775037.0,715571.0,0.036185570727377145
Romania,2013,5978678.0,519690.0,0.08692389856085242
Romania,2014,6244802.0,451329.0,0.07227274779888938
Romania,2015,6678943.0,500053.0,0.07487008049028117
Romania,2016,6677279.0,463700.0,0.06944445484455569
Romania,2017,7439895.0,455511.0,0.06122546084319738
Romania,2018,7761544.0,450401.0,0.058029819839969986
Romania,2019,7838124.0,430805.0,0.054962769152414534
Romania,2020,7020164.0,385741.0,0.05494757672327883
Romania,2021,8508673.0,452423.0,0.05317198110680714
Romania,2022,9993299.0,396058.0,0.039632357642856476
Romania,2023,10213885.0,377537.0,0.03696311442707648
Romania,2024,10030223.0,415879.0,0.04146258762143175
Spain,2013,16965203.0,1413937.0,0.08334335875615517
Spain,2014,17828692.0,1469463.0,0.08242124548452573
Spain,2015,19734687.0,1718183.0,0.08706411203785497
Spain,2016,21048182.0,1928621.0,0.09162886371849122
Spain,2017,23259489.0,1900829.0,0.08172273260173514
Spain,2018,24199298.0,2183651.0,0.09023612999021707
Spain,2019,24520367.0,2284337.0,0.09316079975475082
Spain,2020,20866633.0,2066671.0,0.09904190101009588
Spain,2021,26195893.0,2640736.0,0.10080725249564884
Spain,2022,32490734.0,1570985.0,0.04835178546597316
Spain,2023,32956158.0,1554232.0,0.047160594387246235
Spain,2024,34532187.0,1471735.0,0.04261922362461434
Switzerland,2013,20373752.0,1384234.0,0.06794202658400868
Switzerland,2014,19029085.0,1547919.0,0.0813448991372943
Switzerland,2015,19217348.0,1518545.0,0.07901948801676485
Switzerland,2016,18992126.0,1553563.0,0.08180037348109422
Switzerland,2017,20617731.0,1351322.0,0.06554174171735969
Switzerland,2018,22376704.0,1537727.0,0.06871999558111865
Switzerland,2019,26039411.0,1533442.0,0.0588892736475491
Switzerland,2020,25256542.0,1438387.0,0.056951066381138005
Switzerland,2021,27241636.0,1855414.0,0.06810949239612482
Switzerland,2022,31271273.0,1198064.0,0.03831196766438002
Switzerland,2023,30551842.0,1312664.0,0.042965134475361585
Switzerland,2024,30227749.0,1316215.0,0.04354326880245036
